experiment_id,timestamp,description,trades,wr_pct,pf,pnl,avg_r,max_dd,config_json
baseline_20r,2026-07-16T17:02:13.371250+00:00,20-bar Donchian + fixed 2R (current D4),15445,44.0,0.987,-2630.11,-0.0038,0.0000,"{""lookback"": 20, ""exit"": ""FIXED_2R""}"
baseline_10r,2026-07-16T17:02:21.800097+00:00,10-bar Donchian + fixed 2R,19918,43.8,1.001,-503.41,0.0002,0.0000,"{""lookback"": 10, ""exit"": ""FIXED_2R""}"
10bar_ch_5.0x,2026-07-16T17:02:30.943643+00:00,10-bar + Chandelier 5.0x,18639,44.1,0.973,-2678.15,-0.0074,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 5.0}"
10bar_ch_5.5x,2026-07-16T17:02:39.967699+00:00,10-bar + Chandelier 5.5x,18393,44.1,0.975,-2440.40,-0.0070,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 5.5}"
10bar_ch_6.0x,2026-07-16T17:02:48.899157+00:00,10-bar + Chandelier 6.0x,18229,44.4,0.987,-2050.42,-0.0034,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 6.0}"
10bar_ch_6.5x,2026-07-16T17:02:57.949738+00:00,10-bar + Chandelier 6.5x,17329,44.1,0.971,-3349.15,-0.0082,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 6.5}"
10bar_volscale_fixed2r,2026-07-16T17:03:55.411252+00:00,10-bar + vol scaling + fixed 2R,16637,42.9,1.058,-584.12,0.0192,0.0000,"{""lookback"": 10, ""exit"": ""FIXED_2R"", ""vol_scale"": true}"
10bar_volscale_ch6x,2026-07-16T17:04:47.426676+00:00,10-bar + vol scaling + Chandelier 6.0x,14371,44.1,1.037,-2510.13,0.0119,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 6.0, ""vol_scale"": true}"
baseline_20r,2026-07-16T17:06:45.157742+00:00,20-bar Donchian + fixed 2R (current D4),15445,44.0,0.987,-2630.11,-0.0038,0.0000,"{""lookback"": 20, ""exit"": ""FIXED_2R""}"
baseline_10r,2026-07-16T17:06:53.581482+00:00,10-bar Donchian + fixed 2R,19918,43.8,1.001,-503.41,0.0002,0.0000,"{""lookback"": 10, ""exit"": ""FIXED_2R""}"
10bar_ch_5.0x,2026-07-16T17:07:02.823703+00:00,10-bar + Chandelier 5.0x,18639,44.1,0.973,-2678.15,-0.0074,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 5.0}"
