experiment_id,timestamp,description,trades,wr_pct,pf,pnl,avg_r,config_json
baseline,2026-07-16T16:49:05.294081+00:00,"D4 fixed 2R, no filters",8224,37.0,1.156,+58049.19,0.0994,"{""exit"": ""FIXED_2R""}"
ch_2.0x,2026-07-16T16:49:18.075346+00:00,Chandelier exit 2.0x ATR,12286,36.3,0.707,-13350.26,-0.1169,"{""exit"": ""CHANDELIER"", ""mult"": 2.0}"
ch_2.5x,2026-07-16T16:49:31.493392+00:00,Chandelier exit 2.5x ATR,10013,36.3,0.787,-10870.08,-0.1023,"{""exit"": ""CHANDELIER"", ""mult"": 2.5}"
ch_3.0x,2026-07-16T16:49:45.227402+00:00,Chandelier exit 3.0x ATR,8450,37.2,0.886,-6654.01,-0.0629,"{""exit"": ""CHANDELIER"", ""mult"": 3.0}"
ch_3.5x,2026-07-16T16:49:59.521374+00:00,Chandelier exit 3.5x ATR,7385,36.9,0.942,-4495.08,-0.0361,"{""exit"": ""CHANDELIER"", ""mult"": 3.5}"
ch_4.0x,2026-07-16T16:50:14.151008+00:00,Chandelier exit 4.0x ATR,6526,36.6,0.984,-2470.99,-0.0109,"{""exit"": ""CHANDELIER"", ""mult"": 4.0}"
ch_4.5x,2026-07-16T16:50:28.940467+00:00,Chandelier exit 4.5x ATR,5806,36.3,1.009,+622.87,0.0072,"{""exit"": ""CHANDELIER"", ""mult"": 4.5}"
ch_5.0x,2026-07-16T16:50:43.883379+00:00,Chandelier exit 5.0x ATR,5160,35.8,1.025,+1879.04,0.0208,"{""exit"": ""CHANDELIER"", ""mult"": 5.0}"
ch_5.5x,2026-07-16T16:50:59.037373+00:00,Chandelier exit 5.5x ATR,4508,36.6,1.114,+15493.55,0.1009,"{""exit"": ""CHANDELIER"", ""mult"": 5.5}"
ch_6.0x,2026-07-16T16:51:14.096565+00:00,Chandelier exit 6.0x ATR,4016,36.2,1.133,+19591.82,0.1276,"{""exit"": ""CHANDELIER"", ""mult"": 6.0}"
ch_6.5x,2026-07-16T16:51:29.417773+00:00,Chandelier exit 6.5x ATR,3663,36.0,1.090,+9465.04,0.0937,"{""exit"": ""CHANDELIER"", ""mult"": 6.5}"
ch_7.0x,2026-07-16T16:51:45.133507+00:00,Chandelier exit 7.0x ATR,3381,34.9,1.048,+3297.81,0.0553,"{""exit"": ""CHANDELIER"", ""mult"": 7.0}"
ch_8.0x,2026-07-16T16:52:00.841037+00:00,Chandelier exit 8.0x ATR,2784,37.4,1.099,+9381.61,0.1225,"{""exit"": ""CHANDELIER"", ""mult"": 8.0}"
donchian_10_fixed2r,2026-07-16T16:52:15.451858+00:00,10-bar Donchian + fixed 2R,9168,37.9,1.204,+152589.75,0.1278,"{""exit"": ""FIXED_2R"", ""lookback"": 10}"
donchian_10_ch_4.0x,2026-07-16T16:52:32.992731+00:00,10-bar Donchian + Chandelier 4.0x,7516,37.9,1.050,+5688.58,0.0330,"{""exit"": ""CHANDELIER"", ""mult"": 4.0, ""lookback"": 10}"
donchian_10_ch_5.0x,2026-07-16T16:52:50.269544+00:00,10-bar Donchian + Chandelier 5.0x,5498,36.8,1.113,+18377.06,0.0907,"{""exit"": ""CHANDELIER"", ""mult"": 5.0, ""lookback"": 10}"
donchian_10_ch_5.5x,2026-07-16T16:53:08.322058+00:00,10-bar Donchian + Chandelier 5.5x,4731,37.6,1.176,+39869.21,0.1515,"{""exit"": ""CHANDELIER"", ""mult"": 5.5, ""lookback"": 10}"
donchian_10_ch_6.0x,2026-07-16T16:53:25.884581+00:00,10-bar Donchian + Chandelier 6.0x,4175,37.0,1.181,+37769.94,0.1698,"{""exit"": ""CHANDELIER"", ""mult"": 6.0, ""lookback"": 10}"
donchian_10_ch_6.5x,2026-07-16T16:53:50.646547+00:00,10-bar Donchian + Chandelier 6.5x,3787,36.2,1.121,+16738.52,0.1248,"{""exit"": ""CHANDELIER"", ""mult"": 6.5, ""lookback"": 10}"
donchian_10_ch_7.0x,2026-07-16T16:54:13.991870+00:00,10-bar Donchian + Chandelier 7.0x,3475,35.1,1.077,+8334.91,0.0871,"{""exit"": ""CHANDELIER"", ""mult"": 7.0, ""lookback"": 10}"
donchian_15_fixed2r,2026-07-16T16:54:34.172820+00:00,15-bar Donchian + fixed 2R,8697,37.3,1.175,+87327.27,0.1109,"{""exit"": ""FIXED_2R"", ""lookback"": 15}"
donchian_15_ch_5.0x,2026-07-16T16:54:55.205356+00:00,15-bar Donchian + Chandelier 5.0x,5365,36.4,1.068,+7716.50,0.0556,"{""exit"": ""CHANDELIER"", ""mult"": 5.0, ""lookback"": 15}"
donchian_15_ch_5.5x,2026-07-16T16:55:15.493382+00:00,15-bar Donchian + Chandelier 5.5x,4641,37.0,1.137,+23965.69,0.1198,"{""exit"": ""CHANDELIER"", ""mult"": 5.5, ""lookback"": 15}"
donchian_15_ch_6.0x,2026-07-16T16:55:35.801305+00:00,15-bar Donchian + Chandelier 6.0x,4103,36.5,1.154,+25842.57,0.1466,"{""exit"": ""CHANDELIER"", ""mult"": 6.0, ""lookback"": 15}"
donchian_15_ch_6.5x,2026-07-16T16:55:56.321400+00:00,15-bar Donchian + Chandelier 6.5x,3730,35.9,1.104,+11859.99,0.1078,"{""exit"": ""CHANDELIER"", ""mult"": 6.5, ""lookback"": 15}"
donchian_15_ch_7.0x,2026-07-16T16:56:17.174976+00:00,15-bar Donchian + Chandelier 7.0x,3433,35.1,1.065,+5425.80,0.0736,"{""exit"": ""CHANDELIER"", ""mult"": 7.0, ""lookback"": 15}"
