window,start,end,trades_adx,wr_adx,pf_adx,pnl_adx,avg_r_adx,trades_base,wr_base,pf_base,pnl_base,avg_r_base
0,2016-07-04,2016-07-28,45,42.2,1.442,263.58,0.2577,74,27.0,0.730,-332.94,-0.1987
1,2016-07-28,2016-08-23,40,35.0,1.059,18.26,0.0390,55,36.4,1.124,91.97,0.0796
2,2016-08-23,2016-09-16,48,27.1,0.729,-228.61,-0.2004,51,41.2,1.375,270.56,0.2233
3,2016-09-16,2016-10-12,43,34.9,1.053,34.43,0.0347,45,35.6,1.084,51.59,0.0547
4,2016-10-12,2016-11-07,42,23.8,0.613,-280.98,-0.2980,55,27.3,0.735,-250.06,-0.1950
5,2016-11-07,2016-12-01,44,38.6,1.242,144.51,0.1499,62,40.3,1.332,253.22,0.2002
6,2016-12-01,2016-12-28,41,31.7,0.912,-67.87,-0.0607,46,30.4,0.859,-122.63,-0.0997
7,2016-12-28,2017-01-24,55,21.8,0.548,-450.67,-0.3572,62,30.6,0.868,-149.97,-0.0924
8,2017-01-24,2017-02-16,50,38.0,1.203,154.55,0.1275,63,46.0,1.673,555.75,0.3679
9,2017-02-16,2017-03-14,44,40.9,1.355,216.15,0.2130,54,44.4,1.565,415.75,0.3186
10,2017-03-14,2017-04-07,44,38.6,1.231,144.14,0.1442,49,42.9,1.467,315.15,0.2707
11,2017-04-07,2017-05-04,41,29.3,0.811,-140.19,-0.1354,52,32.7,0.952,-53.09,-0.0330
12,2017-05-04,2017-05-30,43,30.2,0.848,-107.36,-0.1075,57,33.3,0.978,-7.35,-0.0151
13,2017-05-30,2017-06-23,46,32.6,0.945,-42.82,-0.0374,51,43.1,1.483,338.61,0.2786
14,2017-06-23,2017-07-19,47,31.9,0.916,-58.72,-0.0580,63,34.9,1.049,48.27,0.0324
15,2017-07-19,2017-08-14,47,51.1,2.039,605.70,0.5167,62,45.2,1.609,518.98,0.3392
16,2017-08-14,2017-09-06,57,42.1,1.427,340.77,0.2502,65,40.0,1.308,276.07,0.1871
17,2017-09-07,2017-10-02,43,37.2,1.163,111.92,0.1038,50,44.0,1.543,361.39,0.3075
18,2017-10-02,2017-10-26,49,36.7,1.137,95.42,0.0876,52,36.5,1.127,90.09,0.0817
19,2017-10-26,2017-11-21,45,33.3,0.979,-14.39,-0.0141,48,31.2,0.890,-87.94,-0.0767
20,2017-11-21,2017-12-15,45,35.6,1.077,57.05,0.0502,41,34.1,1.013,7.47,0.0085
21,2017-12-15,2018-01-12,52,34.6,1.030,21.83,0.0198,63,36.5,1.120,133.70,0.0777
22,2018-01-12,2018-02-07,48,47.9,1.810,498.85,0.4263,64,39.1,1.261,239.91,0.1608
23,2018-02-07,2018-03-05,45,42.2,1.437,272.77,0.2553,45,44.4,1.572,338.32,0.3217
24,2018-03-05,2018-03-29,51,41.2,1.370,285.92,0.2210,57,43.9,1.530,437.52,0.3016
25,2018-03-29,2018-04-24,57,35.1,1.061,43.71,0.0400,67,34.3,1.025,13.53,0.0168
26,2018-04-24,2018-05-18,49,28.6,0.783,-176.31,-0.1568,63,34.9,1.050,53.28,0.0330
27,2018-05-18,2018-06-13,46,26.1,0.690,-245.50,-0.2328,55,29.1,0.803,-179.70,-0.1419
28,2018-06-13,2018-07-09,57,40.4,1.322,245.71,0.1951,71,40.8,1.349,345.93,0.2098
29,2018-07-09,2018-08-02,54,35.2,1.061,53.52,0.0400,56,48.2,1.821,590.68,0.4313
